Date,PX_LAST,YLD_YTM_MID,Equity,Debt,Debt-VRR,Debt-FAR,Hybrid,Equity.1,Debt.1,Hybrid.1,Solution Oriented,Other,AIF,Total
2017-04-28,107.5,7.605,2394,20364,,,,,,,,,,22758
2017-05-31,107.66,7.591,7711,19155,,,,,,,,,,26866
2017-06-30,112.5,7.182,3617,25685,,,,,,,,,,29302
2017-07-31,112.6,7.171,5161,18867,,,,,,,,,,24028
2017-08-31,111.7,7.243,-12770,15447,,,,,,,,,,2677
2017-10-31,109.55,7.422,3055,16064,,,,,,,,,,19119
2017-11-30,108.0,7.555,19728,531,,,,,,,,,,20258
2017-12-29,106.0,7.733,-5883,2350,,,-11.0,,,,,,,-3544
2018-01-31,105.2,7.804,13781,8523,,,-32.0,,,,,,,22272
2018-02-28,103.26,7.983,-11423,-254,,,3.0,,,,,,,-11674
2018-03-30,106.02,7.727,11654,-9044,,,51.0,,,,,,,2662
2018-04-30,108.57,7.5,-5552,-10036,,,26.0,,,,,,,-15561
2018-11-30,104.0,7.91,5981,5610,,,4.0,,,,,,,11595
2018-12-31,107.0,7.632,3143,4749,,,-3.0,,,,,,,7889
2019-01-31,106.52,7.674,-4262,-1301,,,7.0,,,,,,,-5556
2019-02-28,104.85,7.827,17220,-6037,,,871.0,,,,,,,12053
2019-03-29,106.92,7.635,33981,12002,,,2769.0,,,,,,,48751
2019-04-30,105.9,7.728,21193,-5099,,,634.0,,,,,,,16728
2019-05-31,108.45,7.495,7920,1187,,,2264.0,,,,,,,11370
2019-06-28,113.15,7.087,2596,8319,,,2196.0,,,,,,,13111
2019-07-31,118.0625,6.685,-12419,9433,,,-17.0,,,,,,,-3003
2019-08-30,114.05,7.007,-17592,11672,,,49.0,,,,,,,-5871
2019-10-31,111.95,7.181,12368,3670,,,31.0,,,,,,,16069
2019-11-29,111.9375,7.18,25231,-2358,,,126.0,,,,,,,22999
2019-12-31,112.65,7.118,7338,-4616,,,40.0,,,,,,,2762
2020-01-31,112.4,7.137,12123,-11648,529.0,,-46.0,,,,,,,957
2020-02-28,115.43,6.879,1820,2097,2637.0,,2416.0,,,,,,,8970
2020-03-31,115.85,6.841,-61973,-60376,4165.0,,-19.0,,,,,,,-118203
2020-04-30,116.0,6.827,-6884,-12552,4033.0,,544.0,,,,,,,-14859
2020-05-29,116.4,6.792,14569,-22935,1000.0,,11.0,,,,,,,-7356
2020-07-31,119.47,6.54,7563,-2476,-1786.0,,1.0,,,,,,,3301
2020-08-31,117.41,6.7,47080,-3310,2762.0,,3347.0,,,,,,,49879
2020-09-30,117.4,6.698,-7783,3958,406.0,,2222.0,,,,,,,-1196
2020-10-30,116.7,6.754,19541,1641,851.0,,-207.0,,,,,,,21826
2020-11-30,118.25,6.623,60358,-1806,4399.0,,-169.0,,,,,,,62782
2021-01-29,119.8275,6.49,19473,-2518,-2306.0,,-17.0,,,,,,,14631
2021-02-26,115.04,6.88,25787,-6488,4364.0,,350.0,,,,,,,24013
2021-03-31,115.25,6.86,10482,-6492,13314.0,,-281.0,,,,,,,17023
2021-04-30,116.36,6.763,-9659,-118,342.0,,599.0,,,,,,,-8836
2021-06-30,115.65,6.819,17215,-4829,883.0,,-295.0,,,,,,,12974
2021-07-30,112.95,7.05,-11308,-782,4817.0,,-138.0,,,,,,,-7410
2021-09-30,115.895,6.788,13154,12804,559.0,,1239.0,,,,,,,27756
2021-12-31,114.0,6.944,-19026,-11799,1391.0,,-269.0,,,,,,,-29702
2022-01-31,112.855,7.045,-33303,5194,-2114.0,,1697.0,,,,,,,-28526
2022-02-28,112.65,7.059,-35592,-3073,487.0,,110.0,,,,,,,-38068
2022-03-31,111.3,7.178,-41123,-5632,-3244.0,,-68.0,,,,,,,-50068
2022-04-29,109.77,7.318,-17144,-4439,-1175.0,,69.0,,,,,,,-22688
2022-05-31,107.2,7.562,-39993,-5506,9043.0,,-62.0,,,,,,,-36518
2022-06-30,104.6925,7.81,-50203,-1414,87.0,,108.0,,,,,,,-51422
2022-07-29,107.45,7.536,4989,-2056,-785.0,,-176.0,,,,,,,1971
2022-08-31,108.6875,7.413,51204,3845,2997.0,,-1525.0,,,,,,,56521
2022-10-31,107.43,7.531,-8,-3532,762.0,,-301.0,,,,,,,-3080
2022-11-30,108.8,7.397,36239,-1637,-540.0,,-214.0,,,,,,,33847
2022-12-30,108.39,7.435,11119,-1673,-272.0,,-4.0,,,,,,,9171
2023-01-31,109.15,7.36,-28852,3531,-1076.0,,-146.0,,,,,,,-26544
2023-02-28,108.55,7.414,-5294,2436,-1044.0,,-237.0,,,,,,,-4139
2023-03-31,108.755,7.392,7936,-2505,-727.0,,1195.0,,,,,,,5899
